Category,Trait,Broad H2,SE broad,Narrow h2,SE narrow,Var Age (%),Var Gender (%),N SNPs,% of phenotypic variance explained,% of heritability explained
T cell maturation stages,CD45RA- CD4+ not Treg %P,0.846,0.112,0.608,0.077,12.9,1.1,1,2.37,3.89
T cell maturation stages,CD45RA- CD4+ not Treg %GP,0.819,0.116,0.663,0.075,12.4,0,-,-,-
T cell maturation stages,CD45RA+ CD4+ not Treg AC,0.642,0.13,0.588,0.076,12.7,2.1,-,-,-
T cell maturation stages,CD45RA+ CD4+ not Treg %P,0.842,0.113,0.615,0.077,13.1,1.7,1,2.33,3.79
T cell maturation stages,CD45RA+ CD4+ not Treg %GP,0.747,0.132,0.553,0.077,8,2.6,1,2.05,3.71
T cell maturation stages,CD45RA- CD25hi CD4+ not Treg AC,0.679,0.137,0.503,0.078,0.4,0,1,2.35,4.67
T cell maturation stages,CD45RA- CD25hi CD4+ not Treg %P,0.748,0.14,0.354,0.079,0.8,1.1,1,2.56,7.22
T cell maturation stages,CD45RA- CD25hi CD4+ not Treg %GP,0.784,0.133,0.415,0.079,1.1,0.2,-,-,-
T cell maturation stages,CD45RA+ CD25hi CD4+ not Treg AC,0.844,0.118,0.456,0.079,0,0.3,-,-,-
T cell maturation stages,CD45RA+ CD25hi CD4+ not Treg %P,0.838,0.123,0.339,0.079,0.5,0,1,2.06,6.08
T cell maturation stages,CD45RA+ CD25hi CD4+ not Treg %GP,0.826,0.127,0.331,0.079,0.6,0.2,-,-,-
T cell maturation stages,naive CD8br AC,0.453,0.115,0.454,0.078,54.3,0.5,-,-,-
T cell maturation stages,naive CD8br %P,0.676,0.14,0.428,0.079,45.4,1.3,-,-,-
T cell maturation stages,naive CD8br %GP,0.476,0.116,0.476,0.077,55.2,0.3,-,-,-
T cell maturation stages,CM CD8br AC,0.37,0.104,0.37,0.078,0.4,0.4,-,-,-
T cell maturation stages,CM CD8br %P,0.33,0.098,0.329,0.077,1.7,0,-,-,-
T cell maturation stages,CM CD8br %GP,0.387,0.106,0.387,0.077,0.5,0.8,-,-,-
T cell maturation stages,EM CD8br AC,0.686,0.14,0.37,0.08,0.1,0.5,1,3.14,8.5
T cell maturation stages,EM CD8br %P,0.745,0.139,0.411,0.079,12.9,0,2,9.2,22.38
T cell maturation stages,EM CD8br %GP,0.807,0.127,0.451,0.079,3.6,1,1,3.72,8.23
T cell maturation stages,TD CD8br AC,0.403,0.108,0.403,0.078,2.4,0.9,1,2.5,6.21
T cell maturation stages,TD CD8br %P,0.463,0.116,0.442,0.077,13.1,0.6,1,5.22,11.79
T cell maturation stages,TD CD8br %GP,0.452,0.114,0.452,0.077,7.1,1.4,1,3.36,7.42
T cell maturation stages,CD45RA- CD8br AC,0.707,0.143,0.377,0.08,0.1,0.6,1,3.15,8.36
T cell maturation stages,CD45RA- CD8br %P,0.785,0.132,0.454,0.079,15.5,0.1,2,10.15,22.35
T cell maturation stages,CD45RA- CD8br %GP,0.845,0.117,0.479,0.079,4.3,1.2,1,3.53,7.37
T cell maturation stages,CD45RA- CD28- CD8br AC,0.569,0.133,0.414,0.079,2.2,0.3,1,4.28,10.34
T cell maturation stages,CD45RA- CD28- CD8br %P,0.803,0.127,0.512,0.079,0,0.1,2,16.1,31.43
T cell maturation stages,CD45RA- CD28- CD8br %GP,0.523,0.125,0.455,0.078,11.4,0.1,1,6.74,14.81
T cell maturation stages,CD45RA+ CD28- CD8br AC,0.403,0.108,0.403,0.078,2.4,0.6,-,-,-
T cell maturation stages,CD45RA+ CD28- CD8br %P,0.803,0.127,0.512,0.079,0,0.1,2,16.1,31.43
T cell maturation stages,CD45RA+ CD28- CD8br %GP,0.417,0.11,0.417,0.078,11.2,0.4,1,2.99,7.16
T cell maturation stages,naive CD8dim AC,0.623,0.145,0.254,0.08,20.7,1.5,-,-,-
T cell maturation stages,naive CD8dim %P,0.555,0.136,0.299,0.079,9.9,1,-,-,-
T cell maturation stages,naive CD8dim %GP,0.379,0.105,0.379,0.077,11.2,0.9,-,-,-
T cell maturation stages,CM CD8dim AC,0.372,0.11,0.117,0.077,0.2,0,-,-,-
T cell maturation stages,CM CD8dim %P,0.264,0.089,0.236,0.077,0.5,0,-,-,-
T cell maturation stages,CM CD8dim %GP,0.799,0.128,0.492,0.079,0,0,-,-,-
T cell maturation stages,EM CD8dim AC,0.639,0.145,0.296,0.08,9.7,0.7,-,-,-
T cell maturation stages,EM CD8dim %P,0.506,0.126,0.37,0.078,5,0.8,1,3.28,8.86
T cell maturation stages,EM CD8dim %GP,0.779,0.139,0.271,0.079,5.9,0.5,-,-,-
T cell maturation stages,TD CD8dim AC,0.488,0.13,0.171,0.079,0,0.1,-,-,-
T cell maturation stages,TD CD8dim %P,0.511,0.13,0.282,0.079,6.7,0.8,1,3.65,12.94
T cell maturation stages,TD CD8dim %GP,0.697,0.148,0.209,0.079,0.8,0.3,-,-,-
T cell maturation stages,CD45RA- CD8dim AC,0.645,0.145,0.295,0.08,9.5,0.6,-,-,-
T cell maturation stages,CD45RA- CD8dim %P,0.495,0.124,0.373,0.078,4,0.7,1,3.37,9.05
T cell maturation stages,CD45RA- CD8dim %GP,0.779,0.138,0.291,0.079,5.6,0.5,-,-,-
T cell maturation stages,CD45RA- CD28- CD8dim AC,0.65,0.146,0.278,0.08,1.7,0,-,-,-
T cell maturation stages,CD45RA- CD28- CD8dim %P,0.668,0.147,0.267,0.08,0,0.1,1,3.15,11.82
T cell maturation stages,CD45RA+ CD28- CD8dim AC,0.361,0.106,0.209,0.078,0.5,0.4,-,-,-
T cell maturation stages,CD45RA+ CD28- CD8dim %P,0.48,0.125,0.303,0.079,9,0.8,1,1.81,5.97
T cell maturation stages,CD45RA+ CD28- CD8dim %GP,0.606,0.142,0.26,0.079,2.1,0.5,-,-,-
T cell maturation stages,naive CD8+ AC,0.454,0.115,0.454,0.078,54.3,0.5,-,-,-
T cell maturation stages,naive CD8+ %P,0.676,0.141,0.414,0.079,45.5,1.2,-,-,-
T cell maturation stages,naive CD8+ %GP,0.485,0.117,0.485,0.077,55,0.4,-,-,-
T cell maturation stages,CM CD8+ AC,0.363,0.103,0.363,0.078,0.4,0.4,-,-,-
T cell maturation stages,CM CD8+ %P,0.339,0.099,0.339,0.077,1.6,0.1,-,-,-
T cell maturation stages,CM CD8+ %GP,0.387,0.106,0.387,0.077,0.5,0.8,-,-,-
T cell maturation stages,EM CD8+ AC,0.653,0.138,0.366,0.08,0,0.3,1,3.33,9.09
T cell maturation stages,EM CD8+ %P,0.785,0.133,0.432,0.079,10,0,2,10.36,24
T cell maturation stages,EM CD8+ %GP,0.776,0.132,0.447,0.079,2.5,0.7,1,4.02,9
T cell maturation stages,TD CD8+ AC,0.432,0.113,0.411,0.078,2.3,0.9,1,2.64,6.44
T cell maturation stages,TD CD8+ %P,0.679,0.14,0.439,0.079,13.6,0.7,1,5.61,12.78
T cell maturation stages,TD CD8+ %GP,0.582,0.132,0.461,0.078,7.2,1.4,1,3.53,7.65
T cell maturation stages,CD45RA- CD8+ AC,0.679,0.143,0.372,0.08,0,0.3,2,5.7,15.29
T cell maturation stages,CD45RA- CD8+ %P,0.846,0.117,0.473,0.079,12.4,0,2,11.26,23.82
T cell maturation stages,CD45RA- CD8+ %GP,0.829,0.122,0.472,0.079,3.1,0.9,1,3.94,8.33
T cell maturation stages,CD45RA+ CD8+ AC,0.548,0.135,0.31,0.079,16.1,0.1,-,-,-
T cell maturation stages,CD45RA+ CD8+ %P,0.829,0.123,0.442,0.079,15.2,0.1,2,9.7,21.94
T cell maturation stages,CD45RA+ CD8+ %GP,0.712,0.142,0.376,0.079,13.7,0.5,1,4.09,10.87
T cell maturation stages,CD45RA- CD28- CD8+ AC,0.548,0.131,0.398,0.079,1.9,0.2,2,6.64,16.69
T cell maturation stages,CD45RA- CD28- CD8+ %P,0.754,0.133,0.533,0.078,0,0.2,2,15.74,29.53
T cell maturation stages,CD45RA- CD28- CD8+ %GP,0.49,0.121,0.438,0.078,11,0,1,6.97,15.93
T cell maturation stages,CD45RA- CD28+ CD8+ AC,0.75,0.14,0.38,0.08,3,0.4,-,-,-
T cell maturation stages,CD45RA- CD28+ CD8+ %P,0.404,0.108,0.404,0.078,5.3,0,2,6.31,15.64
T cell maturation stages,CD45RA- CD28+ CD8+ %GP,0.539,0.128,0.442,0.078,1,0,1,2.7,6.1
T cell maturation stages,CD45RA+ CD28- CD8+ AC,0.446,0.116,0.395,0.078,2.6,0.8,-,-,-
T cell maturation stages,CD45RA+ CD28- CD8+ %P,0.739,0.134,0.534,0.078,0,0.2,2,15.69,29.4
T cell maturation stages,CD45RA+ CD28- CD8+ %GP,0.516,0.124,0.447,0.078,12.3,0.6,1,3,6.7
T cell maturation stages,CD45RA+ CD28+ CD8+ AC,0.728,0.141,0.386,0.08,50.5,0.5,-,-,-
T cell maturation stages,CD45RA+ CD28+ CD8+ %P,0.43,0.112,0.43,0.078,33.6,1.4,-,-,-
T cell maturation stages,CD45RA+ CD28+ CD8+ %GP,0.688,0.14,0.432,0.079,42.8,1.4,-,-,-
T cell maturation stages,naive (CD4+ CD8+) AC,0.624,0.143,0.306,0.08,9.2,5.3,1,2.17,7.08
T cell maturation stages,naive (CD4+ CD8+) %P,0.733,0.148,0.151,0.078,10.1,2.8,-,-,-
T cell maturation stages,naive (CD4+ CD8+) %GP,0.68,0.147,0.247,0.079,4,5.2,1,2,8.09
T cell maturation stages,CM (CD4+ CD8+) AC,0.29,0.093,0.29,0.078,0.6,0.4,-,-,-
T cell maturation stages,CM (CD4+ CD8+) %P,0.519,0.133,0.225,0.079,0.8,0.1,-,-,-
T cell maturation stages,CM (CD4+ CD8+) %GP,0.238,0.085,0.238,0.077,3.3,0.4,-,-,-
T cell maturation stages,EM (CD4+ CD8+) AC,0.774,0.139,0.308,0.08,0.3,0.4,1,2.95,9.58
T cell maturation stages,EM (CD4+ CD8+) %P,0.331,0.099,0.299,0.077,1,0.7,-,-,-
T cell maturation stages,EM (CD4+ CD8+) %GP,0.756,0.143,0.248,0.079,2.2,0.5,2,5.45,21.93
T cell maturation stages,TD (CD4+ CD8+) AC,0.688,0.153,0.025,0.077,0.3,0.8,-,-,-
T cell maturation stages,TD (CD4+ CD8+) %P,0.264,0.089,0.235,0.077,0.6,0.2,1,2.91,12.37
T cell maturation stages,TD (CD4+ CD8+) %GP,0.494,0.133,0.057,0.076,0,0.3,-,-,-
T cell maturation stages,CD45RA- (CD4+ CD8+) AC,0.694,0.144,0.341,0.08,0.7,0.5,1,2.41,7.06
T cell maturation stages,CD45RA- (CD4+ CD8+) %P,0.308,0.095,0.308,0.077,5.8,1.8,1,2.59,8.41
T cell maturation stages,CD45RA- (CD4+ CD8+) %GP,0.735,0.144,0.292,0.079,3.6,0.5,-,-,-
T cell maturation stages,naive (CD4- CD8-) AC,0.412,0.11,0.412,0.078,35.1,1.6,-,-,-
T cell maturation stages,naive (CD4- CD8-) %P,0.339,0.099,0.339,0.077,13.9,1.5,-,-,-
T cell maturation stages,naive (CD4- CD8-) %GP,0.49,0.118,0.49,0.077,26.9,1.3,-,-,-
T cell maturation stages,CM (CD4- CD8-) AC,0.311,0.098,0.225,0.078,7.7,0,-,-,-
T cell maturation stages,CM (CD4- CD8-) %P,0.197,0.08,0.197,0.076,0.3,0.1,-,-,-
T cell maturation stages,CM (CD4- CD8-) %GP,0.556,0.142,0.069,0.077,3.4,0.6,-,-,-
T cell maturation stages,EM (CD4- CD8-) AC,0.476,0.124,0.309,0.079,11.7,0.1,-,-,-
T cell maturation stages,EM (CD4- CD8-) %P,0.39,0.108,0.317,0.078,1,0.1,1,4.19,13.24
T cell maturation stages,EM (CD4- CD8-) %GP,0.705,0.144,0.323,0.079,7.9,0,-,-,-
T cell maturation stages,TD (CD4- CD8-) AC,0.305,0.096,0.255,0.078,2.7,0.1,1,3.06,12.01
T cell maturation stages,TD (CD4- CD8-) %P,0.427,0.116,0.273,0.078,3.2,0,1,4.93,18.06
T cell maturation stages,TD (CD4- CD8-) %GP,0.505,0.129,0.297,0.079,0.7,0,1,3.69,12.41
T cell maturation stages,CD45RA- (CD4- CD8-) AC,0.482,0.125,0.311,0.079,12,0.1,-,-,-
T cell maturation stages,CD45RA- (CD4- CD8-) %P,0.398,0.11,0.325,0.078,0.9,0.1,1,4.43,13.64
T cell maturation stages,CD45RA- (CD4- CD8-) %GP,0.688,0.144,0.325,0.079,8.1,0,-,-,-
cDCs,cDC AC,0.587,0.138,0.365,0.08,5.2,1.6,1,11.64,31.92
cDCs,CD62L- cDC AC,0.621,0.143,0.325,0.08,1.7,0.1,2,28.62,88.18
cDCs,CD62L- cDC %P,0.642,0.14,0.384,0.079,0,0.1,2,29.04,75.61
cDCs,CD62L+ cDC AC,0.551,0.132,0.395,0.079,8.4,1.6,-,-,-
cDCs,CD62L+ cDC %P,0.64,0.14,0.384,0.079,0,0.1,2,29.04,75.61
cDCs,myeloid cDC AC,0.687,0.146,0.312,0.08,1.8,2.2,1,16.37,52.41
cDCs,myeloid cDC %P,0.703,0.142,0.366,0.079,2.7,0.2,1,12.93,35.37
cDCs,CD62L- myeloid cDC AC,0.649,0.144,0.335,0.08,1,0.1,2,30.25,90.28
cDCs,CD62L- myeloid cDC %P,0.68,0.141,0.397,0.079,0,0.1,2,30.65,77.14
cDCs,CD62L+ myeloid cDC AC,0.59,0.138,0.371,0.08,3,2.9,-,-,-
cDCs,CD62L+ myeloid cDC %P,0.635,0.138,0.426,0.078,0.9,0.2,1,13.3,31.22
cDCs,plasmacytoid cDC AC,0.521,0.128,0.408,0.079,11.2,0.1,-,-,-
cDCs,plasmacytoid cDC %P,0.681,0.133,0.365,0.079,4,1.4,1,13.23,36.21
cDCs,CD62L- plasmacytoid cDC AC,0.335,0.1,0.335,0.078,8,0,1,3.48,10.38
cDCs,CD62L- plasmacytoid cDC %P,0.587,0.139,0.286,0.079,4.1,0.3,2,7.53,26.35
cDCs,CD62L+ plasmacytoid cDC AC,0.52,0.127,0.409,0.079,10.8,0.1,-,-,-
cDCs,CD62L+ plasmacytoid cDC  %P,0.707,0.141,0.352,0.079,3.7,1.4,1,13.14,37.3
cDCs,CD86+ cDC AC,0.831,0.125,0.382,0.08,0.6,1,2,28.56,74.72
cDCs,CD86+ cDC %P,0.629,0.133,0.509,0.077,0.5,0.2,2,28.5,56.01
